title,artist,top genre,year released,dur
STARSTRUKK (feat. Katy Perry),3OH!3,dance pop,2009,203
My First Kiss (feat. Ke$ha),3OH!3,dance pop,2010,192
I Need A Dollar,Aloe Blacc,pop soul,2010,243
Airplanes (feat. Hayley Williams of Paramore),B.o.B,atl hip hop,2010,180
Nothin' on You (feat. Bruno Mars),B.o.B,atl hip hop,2010,268
Magic (feat. Rivers Cuomo),B.o.B,atl hip hop,2010,196
The Time (Dirty Bit),Black Eyed Peas,dance pop,2010,308
Imma Be,Black Eyed Peas,dance pop,2009,258
Talking to the Moon,Bruno Mars,dance pop,2010,218
Just the Way You Are,Bruno Mars,dance pop,2010,221
Teach Me How to Dougie,Cali Swag District,pop rap,2011,237
Forget You,CeeLo Green,atl hip hop,2010,223
Deuces (feat. Tyga & Kevin McCall),Chris Brown,dance pop,2011,277
Memories (feat. Kid Cudi),David Guetta,big room,2009,210
Gettin' Over You (feat. Fergie & LMFAO),David Guetta,big room,2009,188
"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",DJ Khaled,dance pop,2010,233
Over,Drake,canadian hip hop,2010,234
Find Your Love,Drake,canadian hip hop,2010,209
Barbra Streisand (Radio Edit),Duck Sauce,disco house,2010,195
Stereo Love - Radio Edit,Edward Maya,romanian house,2010,185
Pack Up,Eliza Doolittle,lilith,2010,191
Starry Eyed,Ellie Goulding,dance pop,2010,177
Love The Way You Lie,Eminem,detroit hip hop,2010,263
Not Afraid,Eminem,detroit hip hop,2010,248
I Like It,Enrique Iglesias,dance pop,2010,232
Kickstarts,Example,dance pop,2010,182
Like A G6,Far East Movement,asian american hip hop,2010,217
Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,235
Hot - Malibu Breeze Radio Edit,INNA,dance pop,2010,224
Replay,Iyaz,dance pop,2009,182
Whatcha Say,Jason Derulo,dance pop,2010,221
Ridin' Solo,Jason Derulo,dance pop,2010,216
In My Head,Jason Derulo,dance pop,2010,199
Down,Jay Sean,dance pop,2009,213
Do You Remember,Jay Sean,dance pop,2009,211
Young Forever,JAY-Z,east coast hip hop,2009,254
Heartbreak Warfare,John Mayer,neo mellow,2009,270
Half of My Heart,John Mayer,neo mellow,2009,250
Baby,Justin Bieber,canadian pop,2010,214
California Gurls,Katy Perry,dance pop,2012,235
Teenage Dream,Katy Perry,dance pop,2010,228
Commander,Kelly Rowland,atl hip hop,2011,218
TiK ToK,Kesha,dance pop,2010,200
Your Love Is My Drug,Kesha,dance pop,2010,187
Take It Off,Kesha,dance pop,2010,215
Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,2010,172
Wavin' Flag,K'NAAN,reggae fusion,2009,221
Live Like We're Dying,Kris Allen,idol,2009,213
